39.4;0.7175
39.5;0.7156
39.6;0.7138
39.7;0.7119
39.8;0.7101
39.9;0.7101
40;0.7082
40.1;0.7064
40.2;0.7045
40.3;0.7027
40.4;0.7008
40.5;0.6990
40.6;0.6971
40.7;0.6953
40.8;0.6934
40.9;0.6934
41;0.6916
41.1;0.6897
41.2;0.6879
41.3;0.6860
41.4;0.6842
41.5;0.6823
41.6;0.6805
41.7;0.6786
41.8;0.6768
41.9;0.6768
42;0.6749
42.1;0.6730
42.2;0.6712
42.3;0.6693
42.4;0.6675
42.5;0.6656
42.6;0.6638
42.7;0.6619
42.8;0.6601
42.9;0.6601
43;0.6582
43.1;0.6564
43.2;0.6545
43.3;0.6527
43.4;0.6508
43.5;0.6490
43.6;0.6471
43.7;0.6453
43.8;0.6434
43.9;0.6434
44;0.6416
44.1;0.6397
44.2;0.6379
44.3;0.6360
44.4;0.6342
44.5;0.6323
44.6;0.6305
44.7;0.6286
44.8;0.6268
44.9;0.6268
45;0.6249
45.1;0.6230
45.2;0.6212
45.3;0.6193
45.4;0.6175
45.5;0.6156
45.6;0.6138
45.7;0.6119
45.8;0.6101
45.9;0.6101
46;0.6082
46.1;0.6064
46.2;0.6045
46.3;0.6027
46.4;0.6008
46.5;0.5990
46.6;0.5971
46.7;0.5953
46.8;0.5934
46.9;0.5934
47;0.5916
47.1;0.5897
47.2;0.5879
47.3;0.5860
47.4;0.5842
47.5;0.5823
47.6;0.5805
47.7;0.5786
47.8;0.5768
47.9;0.5768
48;0.5749
48.1;0.5730
48.2;0.5712
48.3;0.5693
48.4;0.5675
48.5;0.5656
48.6;0.5638
48.7;0.5619
48.8;0.5601
48.9;0.5601
49;0.5582
49.1;0.5563
49.2;0.5545
49.3;0.5526
49.4;0.5508
49.5;0.5489
49.6;0.5471
49.7;0.5452
49.8;0.5434
49.9;0.5434
50;0.5415
50.1;0.5396
50.2;0.5377
50.3;0.5358
50.4;0.5339
50.5;0.5319
50.6;0.5300
50.7;0.5281
50.8;0.5262
50.9;0.5262
51;0.5243
51.1;0.5225
51.2;0.5207
51.3;0.5189
51.4;0.5171
51.5;0.5154
51.6;0.5136
51.7;0.5118
51.8;0.5100
51.9;0.5100
52;0.5082
52.1;0.5063
52.2;0.5045
52.3;0.5026
52.4;0.5008
52.5;0.4989
52.6;0.4971
52.7;0.4952
52.8;0.4934
52.9;0.4934
53;0.4915
53.1;0.4897
53.2;0.4878
53.3;0.4860
53.4;0.4841
53.5;0.4823
53.6;0.4804
53.7;0.4786
53.8;0.4767
53.9;0.4767
54;0.4749
54.1;0.4730
54.2;0.4712
54.3;0.4693
54.4;0.4675
54.5;0.4656
54.6;0.4638
54.7;0.4619
54.8;0.4601
54.9;0.4601
55;0.4582
55.1;0.4563
55.2;0.4545
55.3;0.4526
55.4;0.4508
55.5;0.4489
55.6;0.4471
55.7;0.4452
55.8;0.4434
55.9;0.4434
56;0.4415
56.1;0.4397
56.2;0.4378
56.3;0.4360
56.4;0.4341
56.5;0.4323
56.6;0.4304
56.7;0.4286
56.8;0.4267
